[22:49:48] INFO | ℹ Active connection from 10.70.109.135 (packets: 4) | 10.70.109.135 -> 1.1.1.1
[22:49:48] INFO | ℹ Active connection observed from 10.70.109.135 | 10.70.109.135 -> 1.1.1.1
[22:49:48] INFO | ℹ Active connection observed from 8.8.8.8 | 8.8.8.8 -> 10.70.109.135
[22:49:48] INFO | ℹ Active connection from 8.8.8.8 (packets: 1) | 8.8.8.8 -> 10.70.109.135
[22:49:48] INFO | ℹ Active connection observed from 8.8.8.8 | 10.70.109.135 -> 20.189.173.14
[22:49:48] INFO | ℹ Active connection from 10.70.109.135 (packets: 1) | 10.70.109.135 -> 20.189.173.14
[22:49:48] INFO | ℹ Active connection observed from 10.70.109.135 | 10.70.109.135 -> 20.189.173.14
[22:49:48] INFO | ℹ Active connection from 8.8.8.8 (packets: 1) | 10.70.109.135 -> 20.189.173.14
[22:49:48] INFO | ℹ Active connection from 1.1.1.1 (packets: 2) | 1.1.1.1 -> 10.70.109.135
[22:49:48] INFO | ℹ Active connection observed from 1.1.1.1 | 1.1.1.1 -> 10.70.109.135
[22:49:49] INFO | ℹ Active connection observed from 20.189.173.14 | 10.70.109.135 -> 20.189.173.14
[22:49:49] INFO | ℹ Active connection from 10.70.109.135 (packets: 2) | 10.70.109.135 -> 20.189.173.14
[22:49:49] INFO | ℹ Active connection observed from 10.70.109.135 | 10.70.109.135 -> 20.189.173.14
[22:49:49] INFO | ℹ Active connection from 20.189.173.14 (packets: 1) | 10.70.109.135 -> 20.189.173.14
[22:49:50] INFO | ℹ Active connection observed from 20.189.173.14 | 10.70.109.135 -> 20.189.173.14
[22:49:50] INFO | ℹ Active connection from 10.70.109.135 (packets: 1) | 10.70.109.135 -> 20.189.173.14
[22:49:50] INFO | ℹ Active connection observed from 10.70.109.135 | 10.70.109.135 -> 20.189.173.14
[22:49:50] INFO | ℹ Active connection from 20.189.173.14 (packets: 1) | 10.70.109.135 -> 20.189.173.14
[22:49:50] INFO | ℹ Active connection observed from 10.70.109.135 | 10.70.109.135 -> 20.189.173.14
[22:49:50] INFO | ℹ Active connection observed from 20.189.173.14 | 10.70.109.135 -> 20.189.173.14
[22:49:50] INFO | ℹ Active connection from 10.70.109.135 (packets: 4) | 10.70.109.135 -> 20.189.173.14
[22:49:50] INFO | ℹ Active connection from 20.189.173.14 (packets: 4) | 10.70.109.135 -> 20.189.173.14
[22:49:50] INFO | ℹ Active connection from 20.189.173.14 (packets: 1) | 20.189.173.14 -> 10.70.109.135
[22:49:50] INFO | ℹ Active connection observed from 10.70.109.135 | 10.70.109.135 -> 20.189.173.14
[22:49:50] INFO | ℹ Active connection from 10.70.109.135 (packets: 3) | 10.70.109.135 -> 20.189.173.14
[22:49:51] INFO | ℹ Active connection from 20.189.173.14 (packets: 2) | 20.189.173.14 -> 10.70.109.135
[22:49:51] INFO | ℹ Active connection observed from 20.189.173.14 | 20.189.173.14 -> 10.70.109.135
[22:49:51] INFO | ℹ Active connection observed from 10.70.109.135 | 20.189.173.14 -> 10.70.109.135
[22:49:51] INFO | ℹ Active connection from 10.70.109.135 (packets: 2) | 20.189.173.14 -> 10.70.109.135
[22:49:51] INFO | ℹ Active connection from 104.208.16.92 (packets: 2) | 104.208.16.92 -> 10.70.109.135
[22:49:51] INFO | ℹ Active connection observed from 104.208.16.92 | 104.208.16.92 -> 10.70.109.135
[22:49:51] INFO | ℹ Active connection from 10.70.109.135 (packets: 1) | 104.208.16.92 -> 10.70.109.135
[22:49:51] INFO | ℹ Active connection observed from 10.70.109.135 | 104.208.16.92 -> 10.70.109.135
[22:49:53] INFO | ℹ Active connection observed from 10.70.109.135 | 10.70.109.135 -> 8.8.8.8
[22:49:53] INFO | ℹ Active connection from 10.70.109.135 (packets: 3) | 10.70.109.135 -> 8.8.8.8
[22:49:53] INFO | ℹ Active connection from 8.8.8.8 (packets: 3) | 10.70.109.135 -> 20.42.73.26
[22:49:53] INFO | ℹ Active connection observed from 8.8.8.8 | 10.70.109.135 -> 20.42.73.26
[22:49:53] INFO | ℹ Active connection from 10.70.109.135 (packets: 1) | 10.70.109.135 -> 20.42.73.26
[22:49:53] INFO | ℹ Active connection from 10.70.109.135 (packets: 1) | 10.70.109.135 -> 20.42.73.26
[22:49:53] INFO | ℹ Active connection observed from 10.70.109.135 | 10.70.109.135 -> 20.42.73.26
[22:49:53] INFO | ℹ Active connection from 20.42.73.26 (packets: 1) | 10.70.109.135 -> 20.42.73.26
[22:49:53] INFO | ℹ Active connection observed from 20.42.73.26 | 10.70.109.135 -> 20.42.73.26
[22:49:53] INFO | ℹ Active connection from 10.70.109.135 (packets: 3) | 10.70.109.135 -> 20.42.73.26
[22:49:54] INFO | ℹ Active connection from 20.42.73.26 (packets: 1) | 10.70.109.135 -> 20.42.73.26
[22:49:54] INFO | ℹ Active connection observed from 10.70.109.135 | 10.70.109.135 -> 20.42.73.26
[22:49:54] INFO | ℹ Active connection observed from 20.42.73.26 | 10.70.109.135 -> 20.42.73.26
[22:49:54] INFO | ℹ Active connection from 10.70.109.135 (packets: 2) | 10.70.109.135 -> 20.42.73.26
[22:49:54] INFO | ℹ Active connection from 20.42.73.26 (packets: 2) | 10.70.109.135 -> 20.42.73.26
